date,polymarket,kalshi,daily_pl,total_equity
2025-01-16,111.52,102.48,14.00,214.00
2025-01-17,130.38,84.08,0.46,214.46
2026-01-18,314.18,448.16,38.81,762.34
2026-01-20,452.28,405.51,22.84,857.79
2026-01-21,424.11,451.05,17.37,875.16
2026-01-22,480.67,406.33,11.84,887.00
2026-01-23,647.33,630.96,391.29,1278.29
2026-01-24,641.75,599.48,-37.06,1241.23
2026-01-25,607.04,593.99,-40.20,1201.03
2026-01-26,622.19,593.00,14.16,1215.19
2026-01-27,733.38,553.86,72.05,1287.24
2026-01-28,559.41,647.00,-80.83,1206.41
2026-01-29,569.00,619.00,-18.41,1188.00
2026-02-03,628.32,614.60,54.92,1242.92
2026-02-04,647.00,640.00,44.08,1287.00
2026-02-05,651.31,644.50,8.81,1295.81
2026-02-09,596.49,695.65,-3.67,1292.14
2026-02-13,689.00,687.00,83.86,1376.00
2026-02-18,718.93,693.94,36.87,1412.87
2026-02-23,674.00,659.00,-79.87,1333.00
2026-02-24,837.00,646.00,150.00,1483.00
2026-02-26,811.00,784.00,112.00,1595.00
2026-02-27,862.52,770.40,37.92,1632.92
2026-02-28,901.00,844.00,112.08,1745.00
2026-03-02,1034.00,766.00,55.00,1800.00
2026-03-03,1003.00,899.00,102.00,1902.00
2026-03-04,941.00,1035.00,74.00,1976.00
2026-03-05,1159.00,958.00,141.00,2117.00
2026-03-06,2104.00,1616.00,143.00,3720.00
2026-03-07,2022.00,1892.00,194.00,3914.00
2026-03-08,2175.00,1809.00,70.00,3984.00
2026-03-09,2410.00,1719.00,145.00,4129.00
2026-03-12,2956.00,1769.00,596.00,4725.00
2026-03-13,3084.00,1704.00,63.00,4788.00
2026-03-14,2852.00,1926.00,-10.00,4778.00
2026-03-15,3016.00,1874.00,112.00,4890.00
2026-03-16,3174.00,1801.00,85.00,4975.00
2026-03-17,2953.00,2494.00,472.00,5447.00
2026-03-18,2921.00,2528.00,2.00,5449.00
2026-03-19,3664.00,2460.00,675.00,6124.00
2026-03-20,3785.00,2456.00,117.00,6241.00
2026-03-21,3695.00,2852.00,306.00,6547.00
2026-03-22,3999.00,3001.00,453.00,7000.00
2026-03-23,4000.00,3002.00,2.00,7002.00
2026-03-24,4262.00,2848.00,108.00,7110.00
2026-03-25,4293.00,2876.00,59.00,7169.00
2026-03-26,3875.00,4080.00,786.00,7955.00
2026-03-27,4209.00,3666.00,420.00,7875.00
2026-03-28,4070.00,3871.00,66.00,7941.00
2026-03-29,3965.00,3614.00,-362.00,7579.00
2026-03-30,4425.00,3227.00,73.00,7652.00
2026-03-31,4220.00,3295.00,-137.00,7515.00
2026-04-01,4726.00,3185.00,396.00,7911.00
2026-04-02,4714.00,3294.00,97.00,8008.00
2026-04-03,4951.00,3615.00,558.00,8566.00
2026-04-04,5461.00,4343.00,1238.00,9804.00
2026-04-05,5640.00,4364.00,200.00,10004.00
2026-04-06,6397.00,3889.00,282.00,10286.00
2026-04-07,5815.00,5851.00,1380.00,11666.00
2026-04-08,6820.00,4820.00,474.00,11640.00
2026-04-09,8625.00,4170.00,1155.00,12795.00
2026-04-10 to 2026-04-12,8758.00,6870.00,2833.00,15628.00
2026-04-13,9330.00,7335.00,1037.00,16665.00
2026-04-14,9754.00,6921.00,10.00,16675.00
2026-04-15 to 2026-04-16,12752.00,4294.00,871.00,17046.00
2026-04-18,9502.00,8897.00,1353.00,18399.00
2026-04-19,10933.00,8500.00,1034.00,19433.00
2026-04-20,11173.00,8545.00,285.00,19718.00
2026-04-21,11099.00,9167.00,548.00,20266.00
2026-04-22,10855.00,9959.00,548.00,20814.00
2026-04-23,9034.00,12348.00,568.00,21382.00
2026-04-24,14947.00,11911.00,5476.00,26858.00
2026-04-25,17618.00,10395.00,1155.00,28013.00
2026-04-26,13022.00,16707.00,1716.00,29729.00
2026-04-27,14227.00,15873.00,871.00,30100.00
2026-04-28,17995.00,12560.00,455.00,30555.00
2026-04-29,18921.00,12154.00,520.00,31075.00
2026-04-30,20725.00,10673.00,323.00,31398.00
